困档,版档,穿利 傈玫老荤樊,穿利 流崔老荤樊,穿利 魂鄂老荤樊,穿利 傈玫老荤樊(瘤屈),穿利 流崔老荤樊(瘤屈),穿利 魂鄂老荤樊(瘤屈),SIG_CD,SIG_ENG_NM,SIG_KOR_NM
36.391,127.353,229.365,311.045,72.886,229.31,310.838,72.838,"30200",Yuseong-gu,蜡己备
36.391,127.372,231.103,315.005,73.579,231.081,314.971,73.558,"30200",Yuseong-gu,蜡己备
36.39,127.391,230.359,311.88,72.857,230.323,311.845,72.822,"30200",Yuseong-gu,蜡己备
36.39,127.41,228.923,311.518,72.497,228.856,311.489,72.431,"30200",Yuseong-gu,蜡己备
36.39,127.429,229.608,311.395,72.295,229.515,311.395,72.202,"30230",Daedeok-gu,措傣备
36.39,127.448,231.039,313.63,72.759,231.028,313.63,72.748,"30230",Daedeok-gu,措傣备
36.39,127.467,227.181,308.769,71.502,227.096,307.662,71.458,"30110",Dong-gu,悼备
36.39,127.486,223.255,303.617,69.606,223.2,303.522,69.553,"30110",Dong-gu,悼备
36.389,127.505,223.598,307.795,67.884,223.515,307.505,67.81,"30110",Dong-gu,悼备
36.389,127.524,225.696,310.725,68.837,225.655,310.725,68.796,"30110",Dong-gu,悼备
36.376,127.296,231.925,312.3,74.09,231.458,307.189,73.951,"30200",Yuseong-gu,蜡己备
36.376,127.314,230.255,311.427,73.379,230.126,309.855,73.31,"30200",Yuseong-gu,蜡己备
36.376,127.334,231.16,311.747,73.787,231.05,310.191,73.737,"30200",Yuseong-gu,蜡己备
36.375,127.353,233.106,315.98,74.542,233.068,315.952,74.504,"30200",Yuseong-gu,蜡己备
36.375,127.371,232.904,316.306,74.209,232.859,316.196,74.167,"30200",Yuseong-gu,蜡己备
36.375,127.391,229.465,311.183,72.812,229.421,311.159,72.769,"30200",Yuseong-gu,蜡己备
36.375,127.41,230.238,313.006,72.932,230.18,312.983,72.874,"30230",Daedeok-gu,措傣备
36.375,127.428,230.259,313.618,72.367,230.119,313.618,72.227,"30230",Daedeok-gu,措傣备
36.375,127.448,233.37,316.646,73.204,233.326,316.646,73.16,"30230",Daedeok-gu,措傣备
36.374,127.466,228.222,310.957,71.828,228.144,310.686,71.758,"30110",Dong-gu,悼备
36.374,127.485,223.423,304.586,69.721,223.206,302.726,69.578,"30110",Dong-gu,悼备
36.374,127.504,226.021,311.558,68.851,225.918,311.379,68.752,"30110",Dong-gu,悼备
36.374,127.523,227.628,314.479,69.429,227.564,314.479,69.365,"30110",Dong-gu,悼备
36.361,127.276,229.751,308.402,73.222,229.655,306.912,73.182,"30200",Yuseong-gu,蜡己备
36.36,127.295,230.049,308.606,73.19,229.805,306.336,73.051,"30200",Yuseong-gu,蜡己备
36.36,127.314,228.563,309.195,73.164,228.353,306.425,73.091,"30200",Yuseong-gu,蜡己备
36.36,127.333,232.978,314.371,74.686,232.864,312.783,74.634,"30200",Yuseong-gu,蜡己备
36.36,127.352,235.764,319.048,75.6,235.689,318.13,75.559,"30200",Yuseong-gu,蜡己备
36.36,127.371,234.775,316.75,74.817,234.737,316.642,74.782,"30170",Seo-gu,辑备
36.36,127.39,227.756,308.201,72.45,227.719,308.174,72.414,"30170",Seo-gu,辑备
36.36,127.409,229.999,311.599,73.19,229.953,311.575,73.144,"30230",Daedeok-gu,措傣备
36.359,127.428,230.67,312.672,73.062,230.59,312.672,72.981,"30230",Daedeok-gu,措傣备
36.359,127.447,231.21,314.83,72.704,231.108,314.83,72.602,"30230",Daedeok-gu,措傣备
