행정구역별(시군구),연령별,항목,단위,2015 년,2016 년,2017 년,2018 년,2019 년
성동구,35~39,1인가구,,3174,3225,3560,3642,3655
성동구,35~39,남자,,1930,1900,2091,2055,2032
성동구,35~39,여자,,1244,1325,1469,1587,1623
성동구,40~44,1인가구,,3038,2824,2876,2802,2752
성동구,40~44,남자,,1878,1701,1665,1619,1566
성동구,40~44,여자,,1160,1123,1211,1183,1186
성동구,45~49,1인가구,,2807,2833,2877,2967,2990
성동구,45~49,남자,,1829,1772,1743,1751,1722
성동구,45~49,여자,,978,1061,1134,1216,1268
성동구,50~54,1인가구,,2633,2561,2529,2656,2670
성동구,50~54,남자,,1704,1638,1619,1669,1687
성동구,50~54,여자,,929,923,910,987,983
성동구,55~59,1인가구,,2391,2548,2728,2744,2715
성동구,55~59,남자,,1311,1431,1571,1540,1538
성동구,55~59,여자,,1080,1117,1157,1204,1177
성동구,60~64,1인가구,,1861,2033,2309,2583,2713
성동구,60~64,남자,,839,957,1093,1266,1382
성동구,60~64,여자,,1022,1076,1216,1317,1331
성동구,65~69,1인가구,,1598,1664,1767,1831,1942
성동구,65~69,남자,,569,554,642,671,743
성동구,65~69,여자,,1029,1110,1125,1160,1199
성동구,70~74,1인가구,,1540,1513,1519,1654,1715
성동구,70~74,남자,,399,400,391,465,473
성동구,70~74,여자,,1141,1113,1128,1189,1242
성동구,75~79,1인가구,,1321,1356,1476,1540,1557
성동구,75~79,남자,,263,287,317,321,347
성동구,75~79,여자,,1058,1069,1159,1219,1210
성동구,80~84,1인가구,,749,801,880,981,1082
성동구,80~84,남자,,117,126,163,187,198
성동구,80~84,여자,,632,675,717,794,884
성동구,85세 이상,1인가구,,419,456,484,511,616
성동구,85세 이상,남자,,71,77,66,76,110
성동구,85세 이상,여자,,348,379,418,435,506
광진구,합계,1인가구,,54210,53169,54866,56337,58714
광진구,합계,남자,,27186,25927,26630,27057,28035
광진구,합계,여자,,27024,27242,28236,29280,30679
광진구,20세 미만,1인가구,,787,805,802,736,576
광진구,20세 미만,남자,,311,334,349,308,212
광진구,20세 미만,여자,,476,471,453,428,364
광진구,20~24,1인가구,,6116,6136,6280,6523,6710
광진구,20~24,남자,,2511,2403,2395,2436,2429
광진구,20~24,여자,,3605,3733,3885,4087,4281
